cost_center_id,department_name
1,Engineering_1
2,Engineering_2
3,Engineering_3
4,DevOps_1
5,DevOps_2
6,Product_1
7,Product_2
8,QA_1
9,QA_2
10,QA_3
11,IT_Support_1
12,IT_Support_2
13,IT_Support_3
14,HR_1
15,HR_2
16,Finance_1
17,Finance_2
18,Finance_3
19,Sales_1
20,Sales_2
21,Sales_3
22,Marketing_1
23,Marketing_2
24,Marketing_3
25,Customer_Success_1
26,Customer_Success_2
27,Customer_Success_3
28,Legal_1
29,Legal_2
30,Security_1
31,Security_2
32,Analytics_1
33,Analytics_2
34,Analytics_3
35,Data_Engineering_1
36,Data_Engineering_2
37,Operations_1
38,Operations_2
39,Operations_3
40,Customer_Experience_1
