month_id,year_number,month_number,month_label
1,2020,1,Jan 2020
2,2020,2,Feb 2020
3,2020,3,Mar 2020
4,2020,4,Apr 2020
5,2020,5,May 2020
6,2020,6,Jun 2020
7,2020,7,Jul 2020
8,2020,8,Aug 2020
9,2020,9,Sep 2020
10,2020,10,Oct 2020
11,2020,11,Nov 2020
12,2020,12,Dec 2020
13,2021,1,Jan 2021
14,2021,2,Feb 2021
15,2021,3,Mar 2021
16,2021,4,Apr 2021
17,2021,5,May 2021
18,2021,6,Jun 2021
19,2021,7,Jul 2021
20,2021,8,Aug 2021
21,2021,9,Sep 2021
22,2021,10,Oct 2021
23,2021,11,Nov 2021
24,2021,12,Dec 2021
25,2022,1,Jan 2022
26,2022,2,Feb 2022
27,2022,3,Mar 2022
28,2022,4,Apr 2022
29,2022,5,May 2022
30,2022,6,Jun 2022
31,2022,7,Jul 2022
32,2022,8,Aug 2022
33,2022,9,Sep 2022
34,2022,10,Oct 2022
35,2022,11,Nov 2022
36,2022,12,Dec 2022
37,2023,1,Jan 2023
38,2023,2,Feb 2023
39,2023,3,Mar 2023
40,2023,4,Apr 2023
41,2023,5,May 2023
42,2023,6,Jun 2023
43,2023,7,Jul 2023
44,2023,8,Aug 2023
45,2023,9,Sep 2023
46,2023,10,Oct 2023
47,2023,11,Nov 2023
48,2023,12,Dec 2023
49,2024,1,Jan 2024
50,2024,2,Feb 2024
51,2024,3,Mar 2024
52,2024,4,Apr 2024
53,2024,5,May 2024
54,2024,6,Jun 2024
55,2024,7,Jul 2024
56,2024,8,Aug 2024
57,2024,9,Sep 2024
58,2024,10,Oct 2024
59,2024,11,Nov 2024
60,2024,12,Dec 2024
