cost_center_id,department_name,size_d,manager_discipline,manager_bias
1,Engineering_1,1.5,-1.68287,0.467045
2,Engineering_2,1.5,-0.334885,0.230388
3,Engineering_3,1.4,0.162753,-0.084452
4,DevOps_1,1.3,0.586222,-0.102115
5,DevOps_2,1.2,0.711227,-0.30673
6,Product_1,1.2,0.793347,-0.258548
7,Product_2,1.1,-0.348725,0.009615
8,QA_1,1.0,-0.462352,0.104802
9,QA_2,1.0,0.857976,-0.173362
10,QA_3,1.0,-0.191304,-0.115341
11,IT_Support_1,0.9,-1.275686,0.426148
12,IT_Support_2,0.9,-1.133287,0.36376
13,IT_Support_3,0.8,-0.919452,0.216421
14,HR_1,0.7,0.497161,-0.293754
15,HR_2,0.7,0.142426,-0.035515
16,Finance_1,0.8,0.690485,-0.260095
17,Finance_2,0.8,-0.427253,0.151443
18,Finance_3,0.9,0.15854,-0.045377
19,Sales_1,1.1,0.62559,-0.027499
20,Sales_2,1.1,-0.309347,0.068868
21,Sales_3,1.0,0.456775,-0.239382
22,Marketing_1,1.0,-0.661926,0.216505
23,Marketing_2,0.9,-0.363054,0.130916
24,Marketing_3,0.9,-0.381738,0.25044
25,Customer_Success_1,1.0,-1.19584,0.442263
26,Customer_Success_2,0.9,0.486972,-0.110405
27,Customer_Success_3,0.8,-0.469402,0.287151
28,Legal_1,0.7,0.012494,-0.122625
29,Legal_2,0.7,0.480747,-0.208199
30,Security_1,1.0,0.446531,-0.226617
31,Security_2,0.9,0.665385,-0.238597
32,Analytics_1,1.2,-0.098485,-0.108123
33,Analytics_2,1.1,-0.423298,0.190505
34,Analytics_3,1.1,-0.079718,0.001693
35,Data_Engineering_1,1.3,-1.687334,0.35912
36,Data_Engineering_2,1.2,-1.447112,0.332576
37,Operations_1,1.0,-1.3227,0.428161
38,Operations_2,1.0,-0.997247,0.382987
39,Operations_3,0.9,0.399774,0.079741
40,Customer_Experience_1,0.9,-0.905479,0.56303
