gl_account_id,gl_account_name,gl_account_type,scale_g,sigma_g
1,Rent / Lease,Fixed,35000,0.05
2,Software Licenses,Fixed,15000,0.05
3,Salaries,Fixed,120000,0.03
4,Insurance Premiums,Fixed,4000,0.03
5,Cloud Hosting / IT Svcs,Semi-fixed,40000,0.08
6,Utilities,Semi-fixed,5000,0.1
7,Office Supplies,Variable,2500,0.2
8,Training & Development,Variable,6000,0.2
9,Miscellaneous,Variable,3000,0.1
10,Legal / Professional,Variable,8000,0.2
11,Recruitment / Hiring,Variable,12000,0.2
12,Contractor / Freelancer,Variable,30000,0.15
13,Equipment / Hardware,Variable,10000,0.2
14,Travel & Transportation,Variable,7000,0.15
15,Marketing / Advertising,Variable,20000,0.2
