month_id,year_number,month_number,month_label,macro_t
1,2020,1,Jan 2020,0.030472
2,2020,2,Feb 2020,-0.078097
3,2020,3,Mar 2020,0.008662
4,2020,4,Apr 2020,0.101419
5,2020,5,May 2020,-0.108897
6,2020,6,Jun 2020,-0.22278
7,2020,7,Jul 2020,-0.176579
8,2020,8,Aug 2020,-0.181717
9,2020,9,Sep 2020,-0.156139
10,2020,10,Oct 2020,-0.218023
11,2020,11,Nov 2020,-0.09738
12,2020,12,Dec 2020,-0.004993
13,2021,1,Jan 2021,0.002359
14,2021,2,Feb 2021,0.114729
15,2021,3,Mar 2021,0.144271
16,2021,4,Apr 2021,0.036701
17,2021,5,May 2021,0.068071
18,2021,6,Jun 2021,-0.038028
19,2021,7,Jul 2021,0.055521
20,2021,8,Aug 2021,0.0422
21,2021,9,Sep 2021,0.017384
22,2021,10,Oct 2021,-0.053317
23,2021,11,Nov 2021,0.076935
24,2021,12,Dec 2021,0.049942
25,2022,1,Jan 2022,-0.000382
26,2022,2,Feb 2022,-0.035538
27,2022,3,Mar 2022,0.023023
28,2022,4,Apr 2022,0.056114
29,2022,5,May 2022,0.08897
30,2022,6,Jun 2022,0.118707
31,2022,7,Jul 2022,0.315066
32,2022,8,Aug 2022,0.227164
33,2022,9,Sep 2022,0.141865
34,2022,10,Oct 2022,0.039208
35,2022,11,Nov 2022,0.094925
36,2022,12,Dec 2022,0.193583
37,2023,1,Jan 2023,0.153151
38,2023,2,Feb 2023,0.046163
39,2023,3,Mar 2023,-0.04321
40,2023,4,Apr 2023,0.028331
41,2023,5,May 2023,0.098407
42,2023,6,Jun 2023,0.137961
43,2023,7,Jul 2023,0.050716
44,2023,8,Aug 2023,0.066325
45,2023,9,Sep 2023,0.068045
46,2023,10,Oct 2023,0.079707
47,2023,11,Nov 2023,0.154894
48,2023,12,Dec 2023,0.154019
49,2024,1,Jan 2024,0.198808
50,2024,2,Feb 2024,0.175744
51,2024,3,Mar 2024,0.178295
52,2024,4,Apr 2024,0.214679
53,2024,5,May 2024,0.036762
54,2024,6,Jun 2024,-0.00072
55,2024,7,Jul 2024,-0.047649
56,2024,8,Aug 2024,-0.104389
57,2024,9,Sep 2024,-0.116245
58,2024,10,Oct 2024,0.050686
59,2024,11,Nov 2024,-0.0435
60,2024,12,Dec 2024,0.059853
