cost_center_id,gl_account_id,base_cost,budget
1,1,57036.70775458475,83675.39845254018
1,2,29215.9752581248,42861.140958940436
1,3,172118.826067067,252506.0074349683
1,4,5720.89190356568,8392.804009559799
1,5,84759.22628499556,124345.57167013075
1,6,4742.882716200817,6958.020838078065
1,7,3831.7895092018543,5621.406399336852
1,8,9167.36512927938,13448.934206598113
1,9,4791.574385098427,7029.453691703792
1,10,15763.215546412519,23125.341445278624
1,11,12846.586418045892,18846.51621040617
1,12,27790.051490914066,40769.24708775685
1,13,13734.620881337854,20149.30244195492
1,14,7485.611620279871,10981.726674740175
1,15,37479.366691697665,54983.90536793522
2,1,43073.39605372152,52997.00421590759
2,2,23509.199425982828,28925.44482764966
2,3,188945.0456729385,232475.7808651684
2,4,5688.70125261352,6999.311683986651
2,5,44149.08849684951,54320.52365403995
2,6,7970.7322658005705,9807.096031333387
2,7,4872.786631073877,5995.419848208796
2,8,7612.14450100904,9365.893827106733
2,9,3809.1407378745093,4686.722344631077
2,10,14352.779921297964,17659.49304415949
2,11,15258.33429050249,18773.67658015489
2,12,35708.65004863697,43935.50661321666
2,13,15096.632955793051,18574.72114356415
2,14,10463.182763725172,12873.778058952112
2,15,28565.08738754105,35146.15041770046
3,1,31989.606141638586,29288.009794651392
3,2,19343.123691853456,17709.552085067928
3,3,174038.8675674387,159340.8820163763
3,4,5866.161933816777,5370.750968734386
3,5,66560.89836384224,60939.67629953297
3,6,7101.576940644106,6501.832316226237
3,7,2540.3733547399984,2325.832939807661
3,8,7458.479964986852,6828.594053348256
3,9,3056.1960649571047,2798.0932271726247
3,10,9698.950964236768,8879.852086352059
3,11,17653.11167365235,16162.265496949367
3,12,39603.35489540794,36258.75982786794
3,13,14773.573629169003,13525.91111116887
3,14,8181.682112654348,7490.720104247913
3,15,22783.617935833285,20859.48861976518
4,1,48002.5732298251,43100.78362116308
4,2,24329.07671314852,21844.709576206034
4,3,125584.44399276993,112760.37059099492
4,4,4653.376949963801,4178.196699327828
4,5,48693.165136055184,43720.85563643695
4,6,7060.954452756301,6339.924082195836
4,7,2530.268828757283,2271.890066590889
4,8,5800.919451925887,5208.557735107163
4,9,2576.365966616497,2313.2799886459525
4,10,7700.65288048942,6914.299613784891
4,11,15050.71636650703,13513.810319094862
4,12,31473.157567665618,28259.271595796272
4,13,11484.705235454889,10311.942923064491
4,14,8497.790816634402,7630.037695939588
4,15,25705.516785488762,23080.594274332478
5,1,35697.52644825148,24748.03337292424
5,2,19611.63564771632,13596.163706493657
5,3,146629.83121614988,101654.10092668395
5,4,5274.709582640238,3656.7992735546495
5,5,47414.88181382321,32871.32735100842
5,6,8289.597417623461,5746.931340938908
5,7,2177.890398683487,1509.8666387242147
5,8,6028.234942930852,4179.195994538949
5,9,2879.0403386255816,1995.9530385274345
5,10,5306.10121392301,3678.562157875017
5,11,13688.45384962319,9489.797932786492
5,12,41529.25983150865,28791.000680478795
5,13,13185.713178305434,9141.262777844191
5,14,8264.044791785695,5729.21646543022
5,15,29603.380314864535,20523.143110368677
6,1,38651.98632146041,28658.595408864243
6,2,24471.837248202326,18144.69447378469
6,3,150725.2986209332,111755.5852144977
6,4,5877.662103954146,4358.004755209981
6,5,38885.49526663027,28831.73110047702
6,6,3971.3727423749924,2944.58255508397
6,7,2559.4311599675616,1897.6955409307159
6,8,6702.480544541716,4969.568098371084
6,9,3284.4486148061033,2435.261236255561
6,10,8611.2027154288,6384.794110003263
6,11,13948.768604690129,10342.343406856979
6,12,53676.65862825975,39798.66984670131
6,13,10785.64604639186,7997.039626787324
6,14,5972.115756214031,4428.037611542197
6,15,19744.245210195517,14639.411553817903
7,1,34063.92415081982,34391.459551979795
7,2,17115.889940988105,17280.464634532233
7,3,218393.11749942062,220493.03637647195
7,4,4538.9259376667105,4582.569145690743
7,5,41153.06465024728,41548.764378778316
7,6,4886.749737822009,4933.737381660671
7,7,3002.7490914563164,3031.6214733903053
7,8,7750.727058059005,7825.252749374043
7,9,3112.057712035312,3141.981130917747
7,10,14279.639677623081,14416.942928109494
7,11,13748.015380291135,13880.206895067886
7,12,26080.414167306717,26331.1855957213
7,13,10130.671540915666,10228.081150932483
7,14,5573.864731451209,5627.459203208022
7,15,18337.121024727716,18513.438241275086
8,1,34028.209922527065,37594.442212438604
8,2,11741.814913676184,12972.38330333443
8,3,174663.39508329766,192968.50842395777
8,4,4291.539999642563,4741.302962637582
8,5,51877.66615834851,57314.56126979768
8,6,5627.240483658432,6216.987836269974
8,7,2776.325526715911,3067.2906337027866
8,8,8464.775002241884,9351.902300696884
8,9,4419.64122134679,4882.829478068949
8,10,8726.971443482193,9641.577513732122
8,11,9808.010418117305,10835.911783852183
8,12,25373.48423115915,28032.681966765485
8,13,13132.809236046247,14509.15693289737
8,14,7708.49922947504,8516.367140290802
8,15,22363.766123977497,24707.538689649842
9,1,43316.95408356037,35807.44242822327
9,2,11409.180761507536,9431.262929586273
9,3,101174.12806833479,83634.38387297653
9,4,4042.7511204869174,3341.8919003220008
9,5,44943.69582676047,37152.16904964867
9,6,3644.1350241640857,3012.380668010772
9,7,2642.024733567946,2183.9981721401846
9,8,4550.891583356069,3761.94014135341
9,9,3742.713797683751,3093.8696330622165
9,10,7152.965918494618,5912.91379406442
9,11,13822.208054437204,11425.963104086832
9,12,31446.4800669813,25994.85694207778
9,13,8121.118430959976,6713.225498460087
9,14,6305.1477934825,5212.075072985064
9,15,19133.20008448869,15816.231196020737
10,1,36116.7871399405,31951.05000945929
10,2,20868.394458767427,18461.418297970446
10,3,113297.2697791497,100229.47829281297
10,4,4000.06751504291,3538.69674838857
10,5,56562.24850873917,50038.3166350817
10,6,6716.90660586971,5942.173594828904
10,7,1884.6413830762594,1667.2654421681566
10,8,6490.405197393165,5741.797027516694
10,9,2474.8853343696337,2189.430216473342
10,10,8779.834726246183,7767.162049219344
10,11,13700.60296439339,12120.365213521056
10,12,41405.785248154054,36630.01113633613
10,13,6172.037601834784,5460.150187567633
10,14,4191.0918331430885,3707.688179353703
10,15,22765.112525604683,20139.36749019923
11,1,30516.288139409404,43520.75127305629
11,2,19056.77782439933,27177.79056131396
11,3,80595.50081146517,114941.1333553841
11,4,3116.22470518313,4444.198445291417
11,5,45558.686873690494,64973.44207457439
11,6,4844.038236873126,6908.31670945841
11,7,1417.5209398474315,2021.5950237990837
11,8,4385.440889688548,6254.288900108667
11,9,2894.445233578123,4127.908037457491
11,10,5269.256944813381,7514.741630483432
11,11,11664.542929787965,16635.36761882909
11,12,21144.123189412418,30154.654524476802
11,13,12421.29050296952,17714.601854607306
11,14,7370.742450791276,10511.77153109856
11,15,17950.938533155775,25600.699778767856
12,1,25606.77065598073,34921.482493451884
12,2,13023.896245077774,17761.465154247817
12,3,95965.60291867376,130874.0241915393
12,4,3835.2426211931256,5230.349420216912
12,5,39304.39223133876,53601.74711846709
12,6,5330.228959156708,7269.151576511129
12,7,2274.592540521122,3101.997696261336
12,8,5937.798081275836,8097.729875067083
12,9,2488.88825226963,3394.2455570629277
12,10,6784.33551096798,9252.203526907339
12,11,12071.566637644657,16462.71639124423
12,12,28378.84832703417,38701.93037423812
12,13,14985.60641159834,20436.766470361814
12,14,6652.705303193803,9072.691551026
12,15,20711.818668576772,28245.944119990872
13,1,20030.736547820732,24365.802377331485
13,2,11114.706991839841,13520.159550726961
13,3,102254.94873989283,124385.0353256959
13,4,3138.338407024372,3817.539771250428
13,5,45355.108124923936,55170.891930812715
13,6,3568.3582954894973,4340.624860790149
